checking,duration,history,purpose,amount,savings,employed,installp,marital,coapp,resident,property,age,housing,existcr,job,depends,telephon,foreign,good_bad
0 <= ... < 200 DM,18,Existing paid,Business,1913,>1000 DM,1 Year,3,Male S,None,3,Real Estate,36,Own,1,Skilled,1,Registered,No,good
< 0 DM,24,Existing paid,Furniture,4020,< 100 DM ,1-4 Years,2,Male M/D,None,2,Others,27,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,18,Existing paid,New Car,5866,100-500 DM,1-4 Years,2,Male M/D,None,2,Others,30,Own,2,Skilled,1,Registered,No,good
No Acc,12,Dues Remain,Business,1264,Unknown,>7 Years,4,Male M/D,None,4,Unknown,57,Rent,1,Unskilled,1,None,No,good
>= 200 DM,12,Existing paid,Furniture,1474,< 100 DM ,1 Year,4,Female M/D,None,1,Building society,33,Own,1,Highly Qualified,1,Registered,No,good
0 <= ... < 200 DM,45,Dues Remain,Television,4746,< 100 DM ,1 Year,4,Male M/D,None,2,Building society,25,Own,2,Unskilled,1,None,No,bad
No Acc,48,Dues Remain,Education,6110,< 100 DM ,1-4 Years,1,Male M/D,None,3,Unknown,31,Free,1,Skilled,1,Registered,No,good
>= 200 DM,18,Existing paid,Television,2100,< 100 DM ,1-4 Years,4,Male M/D,Co-app,2,Real Estate,37,Own,1,Skilled,1,None,No,bad
>= 200 DM,10,Existing paid,Appliance,1225,< 100 DM ,1-4 Years,2,Male M/D,None,2,Others,37,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,9,Existing paid,Television,458,< 100 DM ,1-4 Years,4,Male M/D,None,3,Real Estate,24,Own,1,Skilled,1,None,No,good
No Acc,30,Existing paid,Television,2333,500-1000 DM,>7 Years,4,Male M/D,None,2,Others,30,Own,1,Highly Qualified,1,None,No,good
0 <= ... < 200 DM,12,Existing paid,Television,1158,500-1000 DM,1-4 Years,3,Female S,None,1,Others,26,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,18,Delayed,Repairs,6204,< 100 DM ,1-4 Years,2,Male M/D,None,4,Real Estate,44,Own,1,Unskilled,2,Registered,No,good
< 0 DM,30,Dues Remain,Old Car,6187,100-500 DM,4-7 Years,1,Male S,None,4,Others,24,Rent,2,Skilled,1,None,No,good
< 0 DM,48,Dues Remain,Old Car,6143,< 100 DM ,>7 Years,4,Female M/D,None,4,Unknown,58,Free,2,Unskilled,1,None,No,bad
No Acc,11,Dues Remain,New Car,1393,< 100 DM ,1 Year,4,Female M/D,None,4,Others,35,Own,2,Highly Qualified,1,None,No,good
No Acc,36,Existing paid,Television,2299,500-1000 DM,>7 Years,4,Male M/D,None,4,Others,39,Own,1,Skilled,1,None,No,good
< 0 DM,6,Existing paid,Old Car,1352,500-1000 DM,Unemployed,1,Female M/D,None,2,Building society,23,Rent,1,Unemployed,1,Registered,No,good
No Acc,11,Dues Remain,New Car,7228,< 100 DM ,1-4 Years,1,Male M/D,None,4,Building society,39,Own,2,Unskilled,1,None,No,good
No Acc,12,Existing paid,Television,2073,100-500 DM,1-4 Years,4,Female M/D,Co-app,2,Real Estate,28,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,24,Delayed,Furniture,2333,Unknown,1 Year,4,Male M/D,None,2,Building society,29,Own,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,27,Delayed,Old Car,5965,< 100 DM ,>7 Years,1,Male M/D,None,2,Others,30,Own,2,Highly Qualified,1,Registered,No,good
No Acc,12,Existing paid,Television,1262,< 100 DM ,1-4 Years,3,Male M/D,None,2,Others,25,Own,1,Skilled,1,None,No,good
No Acc,18,Existing paid,Old Car,3378,Unknown,1-4 Years,2,Male M/D,None,1,Building society,31,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,36,Delayed,New Car,2225,< 100 DM ,>7 Years,4,Male M/D,None,4,Unknown,57,Free,2,Skilled,1,Registered,No,bad
No Acc,6,Bank paid,New Car,783,Unknown,1-4 Years,1,Male M/D,Guarantor,2,Real Estate,26,Own,1,Unskilled,2,None,No,good
0 <= ... < 200 DM,12,Existing paid,Television,6468,Unknown,Unemployed,2,Male M/D,None,1,Unknown,52,Own,1,Highly Qualified,1,Registered,No,bad
No Acc,36,Dues Remain,Television,9566,< 100 DM ,1-4 Years,2,Female M/D,None,2,Others,31,Own,2,Skilled,1,None,No,good
>= 200 DM,18,Existing paid,New Car,1961,< 100 DM ,>7 Years,3,Female M/D,None,2,Others,23,Own,1,Highly Qualified,1,None,No,good
< 0 DM,36,Dues Remain,Furniture,6229,< 100 DM ,1 Year,4,Female M/D,Co-app,4,Unknown,23,Rent,2,Unskilled,1,Registered,No,bad
0 <= ... < 200 DM,9,Existing paid,Business,1391,< 100 DM ,1-4 Years,2,Male S,None,1,Real Estate,27,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,15,Dues Remain,Television,1537,Unknown,>7 Years,4,Male M/D,Guarantor,4,Real Estate,50,Own,2,Skilled,1,Registered,No,good
0 <= ... < 200 DM,36,All Paid,Business,1953,< 100 DM ,>7 Years,4,Male M/D,None,4,Unknown,61,Free,1,Highly Qualified,1,Registered,No,bad
0 <= ... < 200 DM,48,All Paid,Business,14421,< 100 DM ,1-4 Years,2,Male M/D,None,2,Others,25,Own,1,Skilled,1,Registered,No,bad
No Acc,24,Existing paid,Television,3181,< 100 DM ,1 Year,4,Female M/D,None,4,Building society,26,Own,1,Skilled,1,Registered,No,good
No Acc,27,Existing paid,Repairs,5190,Unknown,>7 Years,4,Male M/D,None,4,Building society,48,Own,4,Skilled,2,Registered,No,good
No Acc,12,Existing paid,Television,2171,< 100 DM ,1 Year,2,Female M/D,None,2,Others,29,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,12,Existing paid,New Car,1007,>1000 DM,1-4 Years,4,Male S,None,1,Real Estate,22,Own,1,Skilled,1,None,No,good
No Acc,36,Existing paid,Education,1819,< 100 DM ,1-4 Years,4,Male M/D,None,4,Unknown,37,Free,1,Skilled,1,Registered,No,bad
No Acc,36,Existing paid,Television,2394,Unknown,1-4 Years,4,Female M/D,None,4,Others,25,Own,1,Skilled,1,None,No,good
No Acc,36,Existing paid,Old Car,8133,< 100 DM ,1-4 Years,1,Female M/D,None,2,Building society,30,Own,1,Skilled,1,None,No,good
No Acc,7,Dues Remain,Television,730,Unknown,>7 Years,4,Male M/D,None,2,Building society,46,Rent,2,Unskilled,1,Registered,No,good
< 0 DM,8,Dues Remain,Others,1164,< 100 DM ,>7 Years,3,Male M/D,None,4,Unknown,51,Free,2,Highly Qualified,2,Registered,No,good
0 <= ... < 200 DM,42,Dues Remain,Business,5954,< 100 DM ,4-7 Years,2,Female M/D,None,1,Real Estate,41,Own,2,Unskilled,1,None,No,good
< 0 DM,36,Existing paid,Education,1977,Unknown,>7 Years,4,Male M/D,None,4,Unknown,40,Own,1,Highly Qualified,1,Registered,No,bad
< 0 DM,12,Dues Remain,Old Car,1526,< 100 DM ,>7 Years,4,Male M/D,None,4,Unknown,66,Free,2,Highly Qualified,1,None,No,good
< 0 DM,42,Existing paid,Television,3965,< 100 DM ,1 Year,4,Male M/D,None,3,Others,34,Own,1,Skilled,1,None,No,bad
0 <= ... < 200 DM,11,Delayed,Television,4771,< 100 DM ,4-7 Years,2,Male M/D,None,4,Building society,51,Own,1,Skilled,1,None,No,good
No Acc,54,All Paid,Old Car,9436,Unknown,1-4 Years,2,Male M/D,None,2,Building society,39,Own,1,Unskilled,2,None,No,good
0 <= ... < 200 DM,30,Existing paid,Furniture,3832,< 100 DM ,1 Year,2,Male S,None,1,Building society,22,Own,1,Skilled,1,None,No,good
No Acc,24,Existing paid,Television,5943,Unknown,1 Year,1,Female M/D,None,1,Others,44,Own,2,Skilled,1,Registered,No,bad
No Acc,15,Existing paid,Television,1213,500-1000 DM,>7 Years,4,Male M/D,None,3,Building society,47,Own,1,Skilled,1,Registered,No,good
No Acc,18,Existing paid,Business,1568,100-500 DM,1-4 Years,3,Female M/D,None,4,Building society,24,Rent,1,Unskilled,1,None,No,good
< 0 DM,24,Existing paid,Others,1755,< 100 DM ,>7 Years,4,Female M/D,Guarantor,4,Real Estate,58,Own,1,Unskilled,1,Registered,No,good
< 0 DM,10,Existing paid,Television,2315,< 100 DM ,>7 Years,3,Male M/D,None,4,Real Estate,52,Own,1,Unskilled,1,None,No,good
No Acc,12,Dues Remain,Business,1412,< 100 DM ,1-4 Years,4,Female M/D,Guarantor,2,Real Estate,29,Own,2,Highly Qualified,1,Registered,No,good
0 <= ... < 200 DM,18,Dues Remain,Furniture,1295,< 100 DM ,1 Year,4,Female M/D,None,1,Building society,27,Own,2,Skilled,1,None,No,good
0 <= ... < 200 DM,36,Existing paid,Education,12612,100-500 DM,1-4 Years,1,Male M/D,None,4,Unknown,47,Free,1,Skilled,2,Registered,No,bad
< 0 DM,18,Existing paid,New Car,2249,100-500 DM,4-7 Years,4,Male M/D,None,3,Others,30,Own,1,Highly Qualified,2,Registered,No,good
< 0 DM,12,All Paid,Repairs,1108,< 100 DM ,4-7 Years,4,Male M/D,None,3,Real Estate,28,Own,2,Skilled,1,None,No,bad
No Acc,12,Dues Remain,Television,618,< 100 DM ,>7 Years,4,Male M/D,None,4,Real Estate,56,Own,1,Skilled,1,None,No,good
< 0 DM,12,Dues Remain,Old Car,1409,< 100 DM ,>7 Years,4,Male M/D,None,3,Real Estate,54,Own,1,Skilled,1,None,No,good
No Acc,12,Dues Remain,Television,797,Unknown,>7 Years,4,Female M/D,None,3,Building society,33,Own,1,Unskilled,2,None,No,bad
>= 200 DM,24,Dues Remain,Furniture,3617,Unknown,>7 Years,4,Male M/D,Co-app,4,Unknown,20,Rent,2,Skilled,1,None,No,good
0 <= ... < 200 DM,12,Existing paid,New Car,1318,>1000 DM,>7 Years,4,Male M/D,None,4,Real Estate,54,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,54,All Paid,Business,15945,< 100 DM ,1 Year,3,Male M/D,None,4,Unknown,58,Rent,1,Skilled,1,Registered,No,bad
No Acc,12,Dues Remain,Education,2012,Unknown,4-7 Years,4,Female M/D,None,2,Others,61,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,18,Existing paid,Business,2622,100-500 DM,1-4 Years,4,Male M/D,None,4,Others,34,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,36,Dues Remain,Television,2337,< 100 DM ,>7 Years,4,Male M/D,None,4,Real Estate,36,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,20,Delayed,Old Car,7057,Unknown,4-7 Years,3,Male M/D,None,4,Building society,36,Rent,2,Highly Qualified,2,Registered,No,good
No Acc,24,Existing paid,New Car,1469,100-500 DM,>7 Years,4,Male S,None,4,Real Estate,41,Rent,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,36,Existing paid,Television,2323,< 100 DM ,4-7 Years,4,Male M/D,None,4,Others,24,Rent,1,Skilled,1,None,No,good
No Acc,6,Delayed,Television,932,< 100 DM ,1-4 Years,3,Female M/D,None,2,Real Estate,24,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,9,Dues Remain,Furniture,1919,< 100 DM ,4-7 Years,4,Male M/D,None,3,Others,35,Rent,1,Skilled,1,Registered,No,good
No Acc,12,Existing paid,Old Car,2445,Unknown,1 Year,2,Male S,None,4,Others,26,Rent,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,24,Dues Remain,Others,11938,< 100 DM ,1-4 Years,2,Male M/D,Co-app,3,Others,39,Own,2,Highly Qualified,2,Registered,No,bad
No Acc,18,Bank paid,New Car,6458,< 100 DM ,>7 Years,2,Male M/D,None,4,Unknown,39,Own,2,Highly Qualified,2,Registered,No,bad
0 <= ... < 200 DM,12,Existing paid,New Car,6078,< 100 DM ,4-7 Years,2,Male M/D,None,2,Others,32,Own,1,Skilled,1,None,No,good
< 0 DM,24,Existing paid,Furniture,7721,Unknown,1 Year,1,Female M/D,None,2,Building society,30,Own,1,Skilled,1,Registered,Yes,good
0 <= ... < 200 DM,14,Existing paid,Business,1410,500-1000 DM,>7 Years,1,Male S,None,2,Real Estate,35,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,6,Delayed,Business,1449,100-500 DM,>7 Years,1,Female S,None,2,Others,31,Own,2,Skilled,2,None,No,good
>= 200 DM,15,Existing paid,Education,392,< 100 DM ,1 Year,4,Female M/D,None,4,Building society,23,Rent,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,18,Existing paid,New Car,6260,< 100 DM ,4-7 Years,3,Male M/D,None,3,Real Estate,28,Rent,1,Unskilled,1,None,No,good
No Acc,36,Dues Remain,New Car,7855,< 100 DM ,1-4 Years,4,Female M/D,None,2,Real Estate,25,Own,2,Skilled,1,Registered,No,bad
< 0 DM,12,Existing paid,Television,1680,500-1000 DM,>7 Years,3,Male S,None,1,Real Estate,35,Own,1,Skilled,1,None,No,good
No Acc,48,Dues Remain,Television,3578,Unknown,>7 Years,4,Male M/D,None,1,Real Estate,47,Own,1,Skilled,1,Registered,No,good
< 0 DM,42,Existing paid,Television,7174,Unknown,4-7 Years,4,Female M/D,None,3,Others,30,Own,1,Highly Qualified,1,Registered,No,bad
< 0 DM,10,Dues Remain,Furniture,2132,Unknown,1 Year,2,Female M/D,Co-app,3,Real Estate,27,Rent,2,Skilled,1,None,Yes,good
< 0 DM,33,Dues Remain,Furniture,4281,500-1000 DM,1-4 Years,1,Female M/D,None,4,Others,23,Own,2,Skilled,1,None,No,bad
0 <= ... < 200 DM,12,Dues Remain,New Car,2366,500-1000 DM,4-7 Years,3,Female S,None,3,Others,36,Own,1,Highly Qualified,1,Registered,No,good
< 0 DM,21,Existing paid,Television,1835,< 100 DM ,1-4 Years,3,Female M/D,None,2,Real Estate,25,Own,2,Skilled,1,Registered,No,bad
No Acc,24,Dues Remain,Old Car,3868,< 100 DM ,>7 Years,4,Female M/D,None,2,Others,41,Rent,2,Highly Qualified,1,Registered,No,good
No Acc,12,Existing paid,Furniture,1768,< 100 DM ,1-4 Years,3,Male M/D,None,2,Real Estate,24,Rent,1,Unskilled,1,None,No,good
>= 200 DM,10,Dues Remain,New Car,781,< 100 DM ,>7 Years,4,Male M/D,None,4,Unknown,63,Free,2,Skilled,1,Registered,No,good
0 <= ... < 200 DM,18,Existing paid,Furniture,1924,Unknown,1 Year,4,Female M/D,None,3,Real Estate,27,Rent,1,Skilled,1,None,No,bad
< 0 DM,12,Dues Remain,New Car,2121,< 100 DM ,1-4 Years,4,Male M/D,None,2,Building society,30,Own,2,Skilled,1,None,No,good
< 0 DM,12,Existing paid,Television,701,< 100 DM ,1-4 Years,4,Male S,None,2,Real Estate,40,Own,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,12,Existing paid,Repairs,639,< 100 DM ,1-4 Years,4,Male M/D,None,2,Others,30,Own,1,Skilled,1,None,No,bad
0 <= ... < 200 DM,12,Dues Remain,Old Car,1860,< 100 DM ,Unemployed,4,Male M/D,None,2,Others,34,Own,2,Highly Qualified,1,Registered,No,good
< 0 DM,12,Dues Remain,New Car,3499,< 100 DM ,1-4 Years,3,Female M/D,Co-app,2,Real Estate,29,Own,2,Skilled,1,None,No,bad
0 <= ... < 200 DM,48,Existing paid,New Car,8487,Unknown,4-7 Years,1,Female M/D,None,2,Others,24,Own,1,Skilled,1,None,No,good
< 0 DM,36,Delayed,Education,6887,< 100 DM ,1-4 Years,4,Male M/D,None,3,Building society,29,Own,1,Skilled,1,Registered,No,bad
No Acc,15,Existing paid,Furniture,2708,< 100 DM ,1 Year,2,Male M/D,None,3,Building society,27,Own,2,Unskilled,1,None,No,good
No Acc,18,Existing paid,Furniture,1984,< 100 DM ,1-4 Years,4,Male M/D,None,4,Unknown,47,Free,2,Skilled,1,None,No,good
No Acc,60,Existing paid,Television,10144,100-500 DM,4-7 Years,2,Female M/D,None,4,Real Estate,21,Own,1,Skilled,1,Registered,No,good
No Acc,12,Dues Remain,Television,1240,Unknown,>7 Years,4,Female M/D,None,2,Real Estate,38,Own,2,Skilled,1,Registered,No,good
No Acc,27,Delayed,Old Car,8613,>1000 DM,1-4 Years,2,Male M/D,None,2,Others,27,Own,2,Skilled,1,None,No,good
0 <= ... < 200 DM,12,Existing paid,Television,766,500-1000 DM,1-4 Years,4,Male M/D,None,3,Real Estate,66,Own,1,Unskilled,1,None,No,bad
0 <= ... < 200 DM,15,Dues Remain,Television,2728,Unknown,4-7 Years,4,Male M/D,Guarantor,2,Real Estate,35,Own,3,Skilled,1,Registered,No,good
>= 200 DM,12,Existing paid,Television,1881,< 100 DM ,1-4 Years,2,Female M/D,None,2,Others,44,Rent,1,Unskilled,1,Registered,No,good
>= 200 DM,6,Existing paid,New Car,709,>1000 DM,1 Year,2,Male S,None,2,Real Estate,27,Own,1,Unemployed,1,None,Yes,good
0 <= ... < 200 DM,36,Existing paid,Television,4795,< 100 DM ,1 Year,4,Female M/D,None,1,Unknown,30,Own,1,Highly Qualified,1,Registered,No,good
< 0 DM,27,Existing paid,Television,3416,< 100 DM ,1-4 Years,3,Male M/D,None,2,Others,27,Own,1,Highly Qualified,1,None,No,good
< 0 DM,18,Existing paid,Furniture,2462,< 100 DM ,1-4 Years,2,Male M/D,None,2,Others,22,Own,1,Skilled,1,None,No,bad
No Acc,21,Dues Remain,Furniture,2288,< 100 DM ,1 Year,4,Female M/D,None,4,Building society,23,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,48,Bank paid,Business,3566,100-500 DM,4-7 Years,4,Male M/D,None,2,Others,30,Own,1,Skilled,1,None,No,good
< 0 DM,6,Dues Remain,New Car,860,< 100 DM ,>7 Years,1,Female M/D,None,4,Unknown,39,Own,2,Skilled,1,Registered,No,good
No Acc,12,Dues Remain,New Car,682,100-500 DM,4-7 Years,4,Female M/D,None,3,Others,51,Own,2,Skilled,1,Registered,No,good
< 0 DM,36,Dues Remain,Furniture,5371,< 100 DM ,1-4 Years,3,Male M/D,Guarantor,2,Building society,28,Own,2,Skilled,1,None,No,good
No Acc,18,Dues Remain,Television,1582,>1000 DM,>7 Years,4,Male M/D,None,4,Others,46,Own,2,Skilled,1,None,No,good
No Acc,6,Existing paid,Television,1346,100-500 DM,>7 Years,2,Male M/D,None,4,Unknown,42,Free,1,Skilled,2,Registered,No,good
No Acc,10,Existing paid,Television,1924,< 100 DM ,1-4 Years,1,Male M/D,None,4,Building society,38,Own,1,Skilled,1,Registered,Yes,good
>= 200 DM,36,Existing paid,Television,5848,< 100 DM ,1-4 Years,4,Male M/D,None,1,Others,24,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,24,Dues Remain,Old Car,7758,>1000 DM,>7 Years,2,Female M/D,None,4,Unknown,29,Rent,1,Skilled,1,None,No,good
0 <= ... < 200 DM,24,Delayed,Business,6967,100-500 DM,4-7 Years,4,Male M/D,None,4,Others,36,Rent,1,Highly Qualified,1,Registered,No,good
< 0 DM,12,Existing paid,Furniture,1282,< 100 DM ,1-4 Years,2,Female M/D,None,4,Others,20,Rent,1,Skilled,1,None,No,bad
< 0 DM,9,Dues Remain,Repairs,1288,100-500 DM,>7 Years,3,Male M/D,Guarantor,4,Real Estate,48,Own,2,Skilled,2,None,Yes,good
< 0 DM,12,Bank paid,Retraining,339,< 100 DM ,>7 Years,4,Male S,None,1,Others,45,Own,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,24,Existing paid,New Car,3512,100-500 DM,4-7 Years,2,Male M/D,None,3,Others,38,Own,2,Skilled,1,Registered,No,good
No Acc,6,Dues Remain,Television,1898,Unknown,1-4 Years,1,Male M/D,None,2,Real Estate,34,Own,2,Unskilled,2,None,No,good
No Acc,24,Dues Remain,Television,2872,100-500 DM,>7 Years,3,Male M/D,None,4,Real Estate,36,Own,1,Skilled,2,Registered,No,good
No Acc,18,Dues Remain,New Car,1055,< 100 DM ,1 Year,4,Female M/D,None,1,Building society,30,Own,2,Skilled,1,None,No,good
No Acc,15,Existing paid,Appliance,1262,500-1000 DM,4-7 Years,4,Male M/D,None,3,Building society,36,Own,2,Skilled,1,Registered,No,good
0 <= ... < 200 DM,10,Existing paid,New Car,7308,< 100 DM ,Unemployed,2,Male M/D,None,4,Unknown,70,Free,1,Highly Qualified,1,Registered,No,good
No Acc,36,Existing paid,New Car,909,500-1000 DM,>7 Years,4,Male M/D,None,4,Building society,36,Own,1,Skilled,1,None,No,good
No Acc,6,Existing paid,Furniture,2978,500-1000 DM,1-4 Years,1,Male M/D,None,2,Others,32,Own,1,Skilled,1,Registered,No,good
< 0 DM,18,Existing paid,Furniture,1131,< 100 DM ,Unemployed,4,Female M/D,None,2,Others,33,Own,1,Skilled,1,None,No,bad
0 <= ... < 200 DM,11,Existing paid,Furniture,1577,>1000 DM,1 Year,4,Female M/D,None,1,Real Estate,20,Own,1,Skilled,1,None,No,good
No Acc,24,Existing paid,Furniture,3972,< 100 DM ,4-7 Years,2,Female M/D,None,4,Building society,25,Rent,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,24,Dues Remain,Business,1935,< 100 DM ,>7 Years,4,Female S,None,4,Real Estate,31,Own,2,Skilled,1,Registered,No,bad
< 0 DM,15,All Paid,New Car,950,< 100 DM ,>7 Years,4,Male M/D,None,3,Others,33,Rent,2,Skilled,2,None,No,bad
No Acc,12,Existing paid,Furniture,763,< 100 DM ,1-4 Years,4,Female M/D,None,1,Real Estate,26,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,24,Delayed,Furniture,2064,< 100 DM ,Unemployed,3,Female M/D,None,2,Building society,34,Own,1,Highly Qualified,1,Registered,No,bad
0 <= ... < 200 DM,8,Existing paid,Television,1414,< 100 DM ,1-4 Years,4,Male M/D,Guarantor,2,Real Estate,33,Own,1,Skilled,1,None,Yes,good
< 0 DM,21,Delayed,Education,3414,< 100 DM ,1 Year,2,Male M/D,None,1,Building society,26,Own,2,Skilled,1,None,No,bad
No Acc,30,Bank paid,Old Car,7485,Unknown,Unemployed,4,Female M/D,None,1,Real Estate,53,Own,1,Highly Qualified,1,Registered,No,bad
< 0 DM,12,Existing paid,Furniture,2577,< 100 DM ,1-4 Years,2,Female S,None,1,Others,42,Own,1,Skilled,1,None,No,good
< 0 DM,6,Dues Remain,Television,338,500-1000 DM,>7 Years,4,Male M/D,None,4,Others,52,Own,2,Skilled,1,None,No,good
No Acc,12,Existing paid,Television,1963,< 100 DM ,4-7 Years,4,Male M/D,None,2,Others,31,Rent,2,Highly Qualified,2,Registered,No,good
< 0 DM,21,Dues Remain,New Car,571,< 100 DM ,>7 Years,4,Male M/D,None,4,Real Estate,65,Own,2,Skilled,1,None,No,good
No Acc,36,Delayed,Business,9572,< 100 DM ,1 Year,1,Female S,None,1,Others,28,Own,2,Skilled,1,None,No,bad
0 <= ... < 200 DM,36,Delayed,Business,4455,< 100 DM ,1-4 Years,2,Female S,None,2,Real Estate,30,Own,2,Highly Qualified,1,Registered,No,bad
< 0 DM,21,Bank paid,New Car,1647,Unknown,1-4 Years,4,Male M/D,None,2,Building society,40,Own,2,Unskilled,2,None,No,bad
No Acc,24,Dues Remain,Furniture,3777,>1000 DM,1-4 Years,4,Male M/D,None,4,Real Estate,50,Own,1,Skilled,1,Registered,No,good
